"type","group","kanji","kana","translation","pattern"
"kanji","L14","匹","","",""
"kanji","L15","付","","",""
"kanji","L15","最","","",""
"kanji","L15","式","","",""
"kanji","L15","慣","","",""
"kanji","L15","卒","","",""
"kanji","L15","保","","",""
"kanji","L15","険","","",""
"kanji","L15","引","","",""
"kanji","L15","絵","","",""
"kanji","L15","具","","",""
"kanji","L15","震","","",""
"kanji","L15","締","","",""
"kanji","L15","税","","",""
"kanji","L15","池","","",""
"kanji","L15","庭","","",""
"kanji","L15","発","","",""
"kanji","L15","表","","",""
"kanji","L15","組","","",""
"kanji","L15","定","","",""
"kanji","L15","割","","",""
"kanji","L15","券","","",""
"kanji","L15","売","","",""
"kanji","L15","描","","",""
"kanji","L15","探","","",""
"kanji","L15","誘","","",""
"kanji","L15","調","","",""
"kanji","L15","観","","",""
"kanji","L15","光","","",""
"kanji","L16","失","","",""
"kanji","L16","礼","","",""
"kanji","L16","汚","","",""
"kanji","L16","落","","",""
"kanji","L16","訳","","",""
"kanji","L16","道","","",""
"kanji","L16","込","","",""
"kanji","L16","迎","","",""
"kanji","L16","説","","",""
"kanji","L16","研","","",""
"kanji","L16","究","","",""
"kanji","L16","砂","","",""
"kanji","L16","糖","","",""
"kanji","L16","奨","","",""
"kanji","L16","推","","",""
"kanji","L16","薦","","",""
"kanji","L16","状","","",""
"kanji","L16","困","","",""
"kanji","L16","直","","",""
"kanji","L16","迷","","",""
"kanji","L16","笑","","",""
"kanji","L16","坊","","",""
"kanji","L16","案","","",""
"kanji","L16","内","","",""
"kanji","L17","違","","",""
"kanji","L17","少","","",""
"kanji","L17","湯","","",""
"kanji","L17","宝","","",""
"kanji","L17","選","","",""
"kanji","L17","沸","","",""
"kanji","L17","化","","",""
"kanji","L17","離","","",""
"kanji","L17","客","","",""
"kanji","L17","給","","",""
"kanji","L17","首","","",""
"kanji","L17","秘","","",""
"kanji","L17","密","","",""
"kanji","L17","寮","","",""
"kanji","L17","危","","",""
"kanji","L17","脱","","",""
"kanji","L17","祈","","",""
"kanji","L17","粧","","",""
"kanji","L17","就","","",""
"kanji","L17","職","","",""
"kanji","L17","例","","",""
"kanji","L17","比","","",""
"kanji","L18","様","","",""
"kanji","L18","夕","","",""
"kanji","L18","恥","","",""
"kanji","L18","壊","","",""
"kanji","L18","助","","",""
"kanji","L18","注","","",""
"kanji","L18","油","","",""
"kanji","L18","記","","",""
"kanji","L18","虫","","",""
"kanji","L18","賃","","",""
"kanji","L18","方","","",""
"kanji","L18","蔵","","",""
"kanji","L18","庫","","",""
"kanji","L18","暗","","",""
"kanji","L18","謝","","",""
"kanji","L18","押","","",""
"kanji","L18","咲","","",""
"kanji","L18","頼","","",""
"kanji","L18","片","","",""
"kanji","L18","考","","",""
"kanji","L19","遠","","",""
"kanji","L19","敬","","",""
"kanji","L19","種","","",""
"kanji","L19","性","","",""
"kanji","L19","格","","",""
"kanji","L19","悩","","",""
"kanji","L19","仲","","",""
"kanji","L19","怒","","",""
"kanji","L19","覧","","",""
"kanji","L19","越","","",""
"kanji","L19","召","","",""
"kanji","L19","呼","","",""
"kanji","L19","寄","","",""
"kanji","L19","慮","","",""
"kanji","L19","招","","",""
"kanji","L20","頂","","",""
"kanji","L20","戻","","",""
"kanji","L20","換","","",""
"kanji","L20","宇","","",""
"kanji","L20","宙","","",""
"kanji","L20","角","","",""
"kanji","L20","港","","",""
"kanji","L20","支","","",""
"kanji","L20","趣","","",""
"kanji","L20","信","","",""
"kanji","L20","扇","","",""
"kanji","L20","重","","",""
"kanji","L20","軽","","",""
"kanji","L20","致","","",""
"kanji","L20","伺","","",""
"kanji","L20","参","","",""
"kanji","L20","曲","","",""
"kanji","L20","差","","",""
"kanji","L20","交","","",""
"kanji","L20","品","","",""
"kanji","L20","階","","",""
"kanji","L20","誠","","",""
"kanji","L21","場","","",""
"kanji","L21","句","","",""
"kanji","L21","蚊","","",""
"kanji","L21","議","","",""
"kanji","L21","環","","",""
"kanji","L21","境","","",""
"kanji","L21","警","","",""
"kanji","L21","察","","",""
"kanji","L21","工","","",""
"kanji","L21","準","","",""
"kanji","L21","備","","",""
"kanji","L21","府","","",""
"kanji","L21","僚","","",""
"kanji","L21","泥","","",""
"kanji","L21","棒","","",""
"kanji","L21","犯","","",""
"kanji","L21","昔","","",""
"kanji","L21","置","","",""
"kanji","L21","刺","","",""
"kanji","L21","触","","",""
"kanji","L21","捕","","",""
"kanji","L21","包","","",""
"kanji","L21","殴","","",""
"kanji","L21","盗","","",""
"kanji","L21","貼","","",""
"kanji","L21","踏","","",""
"kanji","L21","焼","","",""
"kanji","L21","替","","",""
"kanji","L21","続","","",""
"kanji","L21","絡","","",""
"kanji","L22","受","","",""
"kanji","L22","輩","","",""
"kanji","L22","由","","",""
"kanji","L22","勝","","",""
"kanji","L22","対","","",""
"kanji","L22","嬢","","",""
"kanji","L22","猿","","",""
"kanji","L22","塾","","",""
"kanji","L22","暮","","",""
"kanji","L22","復","","",""
"kanji","L22","無","","",""
"kanji","L22","駄","","",""
"kanji","L22","遣","","",""
"kanji","L22","免","","",""
"kanji","L22","許","","",""
"kanji","L22","貧","","",""
"kanji","L22","乏","","",""
"kanji","L22","吹","","",""
"kanji","L22","走","","",""
"kanji","L22","拾","","",""
"kanji","L22","放","","",""
"kanji","L22","育","","",""
"kanji","L22","負","","",""
"kanji","L22","願","","",""
"kanji","L22","賛","","",""
"kanji","L22","敗","","",""
"kanji","L22","徹","","",""
"kanji","L22","反","","",""
"kanji","L22","翻","","",""
"kanji","L22","絶","","",""
"kanji","L23","体","","",""
"kanji","L23","挙","","",""
"kanji","L23","荘","","",""
"kanji","L23","盆","","",""
"kanji","L23","接","","",""
"kanji","L23","想","","",""
"kanji","L23","答","","",""
"kanji","L23","我","","",""
"kanji","L23","慢","","",""
"kanji","L23","情","","",""
"kanji","L23","優","","",""
"grammar","Доп","と","","Частица «с (кем-то)» и «и» при перечислении: 友だちと話す, パンとたまご. Также вводит цитату/мысль с 言う・思う.","N と V"
"grammar","Доп","と (условие)","","Союз と: «если/когда» о закономерном, всегда верном следствии. ボタンを押すと、ドアが開く — «нажмёшь кнопку — дверь откроется». Не используется для просьб и приказов в главной части.","S と S"
"grammar","Доп","から","","После предложения — «потому что» (причина идёт первой): 高いから、買わない «Дорого, поэтому не куплю». После существительного/времени — «с, от»: 9時から.","S1 から S2"
"grammar","Доп","ので","","«Потому что», мягче и объективнее, чем から. Перед ので глагол/прил. в простой форме, な-прил. и сущ. + な: 静かなので、よく眠れる.","S + ので"
"grammar","Доп","し","","Перечисление причин/качеств с оттенком «и к тому же»: 安いし、おいしいし、よく行く «И дёшево, и вкусно — поэтому часто хожу».","S し S"
"grammar","L17","〜なくてもいいです","","«Можно не …»: ない→なくても + いいです. 来なくてもいいです «можешь не приходить».","V(あ) + なくてもいいです"
"grammar","L18","〜てしまう","","Завершённость или досада/непреднамеренность: て + しまう. 全部食べてしまった «съел всё / съел нечаянно». Разговорно — ちゃう.","V(て) + しまう"
"grammar","L13","〜そうです","","«Выглядит/кажется» по виду: основа прил./ます + そう. おいしそう «выглядит вкусно», 雨が降りそう «похоже, пойдёт дождь».","い / な + そうです"
"grammar","Доп","〜と思っています","","«Думаю/намерен (уже какое-то время)»: простая форма + と思っています. Длительное намерение или мнение.","S + と思っています"
"grammar","Доп","〜でしょうか","","Вежливый смягчённый вопрос «не …ли?»: …でしょうか. 何時でしょうか «Не подскажете, который час?».","S + でしょうか"
"grammar","L16","〜てあげる","","Делать что-то для кого-то (в пользу другого): て + あげる. 友だちに本を貸してあげる. Будьте осторожны: может звучать покровительственно.","V(て) + あげる"
"grammar","L16","〜てくれる","","Кто-то делает что-то для меня/моей стороны: て + くれる. 友だちが手伝ってくれた «друг мне помог».","V(て) + くれる"
"grammar","L16","〜てもらう","","Получать услугу «мне сделали (по моей просьбе)»: て + もらう. 先生に直してもらった «учитель мне исправил».","V(て) + もらう"
"grammar","L16","〜ていただけませんか","","Очень вежливая просьба «не могли бы вы …?»: て + いただけませんか. 教えていただけませんか.","V(て) + いただけませんか"
"grammar","L16","〜といいですね","","Пожелание «хорошо бы …»: простая форма + といいですね. 晴れるといいですね «хорошо бы прояснилось».","S といいですね"
"grammar","L16","〜時","","«Когда …»: определение + 時. 子供の時, 日本に行った時. Время/ситуация действия.","S / N の + 時"
"grammar","Доп","〜ている (привычка)","","て + いる в значении регулярного действия или состояния: 毎日走っている «бегаю каждый день», 東京に住んでいる «живу в Токио».","V(て) + いる"
"grammar","L18","〜てある","","Результат намеренного действия (что-то сделано и так оставлено): переходный гл. + てある. 窓が開けてある «окно открыто (кем-то намеренно)».","V(て) + ある"
"grammar","L15","〜ておく","","Сделать заранее/впрок или оставить как есть: て + おく. 予約しておく «заранее забронировать». Разговорно — とく.","V(て) + おく"
"grammar","L14","〜てほしい","","«Хочу, чтобы (кто-то) сделал»: て + ほしい. 来てほしい «хочу, чтобы пришёл».","V(て) + ほしい"
"grammar","L17","〜かもしれません","","«Возможно/может быть»: простая форма + かもしれません. Меньшая уверенность, чем でしょう. 雨が降るかもしれません.","S + かもしれません"
"grammar","L17","〜でしょう (уверенность)","","でしょう с понижением тона — предположение с долей уверенности, ищет согласия: 来るでしょう «придёт, наверное».","S + でしょう"
"grammar","L18","〜間に","","«Пока/за то время, как …»: V(ている)/сущ. + の + 間に — действие происходит внутри этого промежутка. 寝ている間に電話が来た.","V(ている) / N の + あいだに"
"grammar","Доп","〜ながら (повтор)","","Одновременность двух действий одного лица (см. ながら): 歩きながら話す «разговаривать на ходу».","V(い) + ながら"
"grammar","L17","〜そうです (слух)","","«Говорят, что …» (передача информации): простая форма + そうです. 田中さんは結婚するそうです.","S + そうです"
"grammar","L13","〜てみる","","«Попробовать сделать»: て + みる. 食べてみる «попробовать (на вкус)», 行ってみる «съездить попробовать».","V(て) + みる"
"grammar","Доп","〜てしまう (сожаление)（Разговорное ちゃった）","","V(て) + しまう — К сожалению","V(て) + しまう"
"grammar","Доп","〜やすい / にくい","","Лёгкость/трудность действия: основа ます + やすい «легко» / にくい «трудно». 読みやすい本, 食べにくい.","V(ます) + やすい / にくい"
"grammar","L16","〜とき","","То же, что 〜時: «когда»: 暇なとき, 帰るとき. Указывает момент/ситуацию.","S + とき"
"grammar","L13","〜なら","","Условие-тема «если (раз уж речь о) …»: сущ./простая форма + なら. 日本へ行くなら、京都がいい «если едешь в Японию — лучше Киото».","N / な + なら"
"grammar","L20","〜ば (условие)","","Условная форма ば: у→えば (行けば), い-прил. → ければ (高ければ). «Если …, то …». Часто об условии и его следствии.","V(え) + ば"
"grammar","L14","〜たら","","Условие/«когда»: та-форма + ら. 雨が降ったら、行かない «если пойдёт дождь — не пойду». Самое универсальное условие, годится для конкретного случая.","V(た) + ら"
"grammar","L17","〜なくてもいい","","«Можно не …» (см. なくてもいいです): 行かなくてもいい «можно не идти».","V(あ) + なくてもいい"
"grammar","L17","〜なければならない","","Долженствование «должен/обязан» (более письменно, чем いけない): 行かなければならない.","V(あ) + なければならない"
"grammar","Доп","〜はずです","","Логичное ожидание «должно быть/наверняка»: простая форма (сущ.+の, な-прил.+な) + はず. 来るはずです «должен прийти».","S + はずです"
"grammar","L15","〜予定です","","Запланированное «намечено/по плану»: Vる/сущ.+の + 予定です. 3時に会う予定です.","V(う) + 予定です"
"grammar","Доп","〜てからでないと","","«Пока не сделаешь …, не …»: て + からでないと + (часто отрицание). 予約してからでないと入れない.","V(て) + からでないと"
"grammar","Доп","〜ていく","","て + いく: удаление от говорящего или продолжение в будущее. 歩いていく «пойти пешком (туда)», 増えていく «будет расти дальше».","V(て) + いく"
"grammar","Доп","〜てくる","","て + くる: приближение к говорящему или изменение к настоящему. 買ってくる «сходить купить и вернуться», 寒くなってきた «похолодало».","V(て) + くる"
"grammar","L19","〜てくれてありがとう","","Благодарность за действие: て + くれて + ありがとう. 来てくれてありがとう «спасибо, что пришёл».","V(て) + くれてありがとう"
"grammar","L22","〜させる","","Каузатив «заставлять/позволять»: う→あ + せる (行かせる), る→させる (食べさせる). 子供に野菜を食べさせる.","V(あ) + せる"
"grammar","L21","〜られる (пассив)","","Страдательный залог «быть подвергнутым действию»: う→あ+れる (読まれる), る→られる (見られる). 母にしかられた «мама отругала меня».","V(あ) + れる"
"grammar","L13","〜られる (возможность)","","Потенциал «мочь/быть в состоянии»: る→られる (食べられる), う→え+る (行ける). 日本語が話せる «умею говорить по-японски».","V(え) + られる"
"grammar","L18","〜ている (результат)","","て + いる как состояние после изменения: 落ちている «лежит упавшим», 開いている «открыто».","V(て) + いる"
"grammar","Доп","〜すぎる (повтор)","","См. すぎる: «слишком»: 飲みすぎる «перепить», 難しすぎる.","V(ます) + すぎる"
"grammar","L15","〜ようと思う","","Намерение/решение «собираюсь …»: волевая форма + と思う. 行こうと思う «думаю пойти».","V(う) + ようと思う"
"grammar","L23","〜ようにする","","Стараться/взять за правило: Vる/ない + ようにする. 毎日運動するようにする «стараюсь заниматься каждый день».","V(う) + ようにする"
"grammar","L23","〜ようになる","","Переход к новой способности/привычке: Vる/られる + ようになる. 泳げるようになった «научился плавать».","V(う) + ようになる"
"grammar","Доп","〜かどうか","","«… ли (или нет)»: простая форма + かどうか. 来るかどうか分からない «не знаю, придёт ли».","S + かどうか"
"grammar","L13","〜し〜し","","Перечисление причин «и …, и …» (см. し): 安いし、近いし、いい店だ.","S し S"
"grammar","Доп","〜てばかりいる","","«Только и делает, что …»: て + ばかりいる. ゲームをしてばかりいる «только в игры и играет». Оттенок упрёка.","V(て) + ばかりいる"
"grammar","L22","〜のに","","«Хотя/несмотря на», с оттенком досады: простая форма (сущ.+な) + のに. 勉強したのに、落ちた «хотя готовился — провалился».","S + のに"
"grammar","L21","〜ても","","«Даже если …»: て + も. 雨が降っても行く «пойду, даже если дождь».","V(て) + も"
"grammar","L21","〜なくても","","«Даже если не …»: ない→なくても. 急がなくても間に合う «успеем, даже если не спешить».","V(あ) + なくても"
"grammar","Доп","〜てよかった","","«Хорошо, что сделал»: て + よかった. 来てよかった «хорошо, что пришёл».","V(て) + よかった"
"grammar","Доп","〜ないで","","«Не делая / вместо того чтобы»: ない + で. 朝ごはんを食べないで出かけた «вышел, не позавтракав».","V(あ) + ないで"
"grammar","L21","〜のような","","«Подобный/как …»: N + のような + N. 夢のような話 «история как сон». Наречно — のように.","N のような"
"grammar","L21","〜みたいな","","Разговорное «как/похоже на»: N/простая форма + みたいな. 子供みたいな人. Наречно — みたいに.","N / S みたいな"
"grammar","Доп","〜らしい","","«Похоже/говорят» (вывод по сведениям) или «типичный»: простая форма + らしい. 雨らしい «вроде дождь»; 男らしい «мужественный».","S + らしい"
"grammar","L22","〜すればいい","","«Достаточно/нужно просто …»: условная ば + いい. どうすればいいですか «как мне поступить?».","V(え) + ばいい"
"grammar","L23","〜ことにする","","Собственное решение «решаю …»: Vる/ない + ことにする. 行かないことにした «решил не ходить».","V(う) + ことにする"
"grammar","L23","〜ことになる","","Решение/итог «так сложилось/решено (не мной)»: Vる/ない + ことになる. 転勤することになった «меня переводят».","V(う) + ことになる"
"grammar","Доп","〜てくれてよかった","","«Хорошо, что (ты) сделал для меня»: て + くれて + よかった. 教えてくれてよかった.","V(て) + くれてよかった"
"grammar","Доп","〜そうにない","","«Вряд ли/непохоже, что …»: основа ます + そうにない. 終わりそうにない «вряд ли закончится».","V(ます) + そうにない"
"grammar","Доп","〜てほしかった","","«Хотел(а) бы, чтобы сделал (но не вышло)»: て + ほしかった. 言ってほしかった «хотел бы, чтобы ты сказал».","V(て) + ほしかった"
"grammar","L19","〜ていただいてもいいですか","","Сверхвежливая просьба-разрешение «можно вас попросить …?»: て + いただいてもいいですか.","V(て) + いただいてもいいですか"
"grammar","Доп","〜ばよかった","","Сожаление «надо было …»: условная ば + よかった. 早く来ればよかった «надо было прийти раньше».","V(え)＋ばよかった"
"grammar","Доп","〜という","","«называемый/то, что называется»: N + という + N. 「げんき」という本 «книга под названием Genki».","NというI"
